Date,Time,Active Power [W],Apparent Power [VA],Power Factor,Active Energy[Wh],Reactive Energy[varh],Apparent Energy[vah]
1/9/2023,12:30:00,874679.4,896169.4,0.976,11490173416,6374531363,12192170036
1/9/2023,13:00:00,889585.7,913162.8,0.974,11490618697,6374631656,12192626481
1/9/2023,13:30:00,869175.8,894473.4,0.972,11491062150,6374734231,12193081660
1/9/2023,14:00:00,881526.2,906867.7,0.972,11491497753,6374837495,12193529346
1/9/2023,14:30:00,804289.4,830952,0.968,11491932126,6374946300,12193977166
1/9/2023,15:00:00,749682.5,775131,0.967,11492326685,6375051526,12194385525
1/9/2023,15:30:00,726847.3,752206.9,0.966,11492693239,6375149531,12194764959
1/9/2023,16:00:00,657110.2,685063.7,0.959,11493041993,6375245970,12195126836
1/9/2023,16:30:00,626458,656277.3,0.955,11493361882,6375343690,12195461329
1/9/2023,17:00:00,567019.2,592052,0.958,11493669787,6375436725,12195782995
1/9/2023,17:30:00,571832.5,593839,0.963,11493960674,6375519526,12196085457
1/9/2023,18:00:00,576496.6,592440.9,0.973,11494245609,6375596046,12196380525
1/9/2023,18:30:00,580526.3,593469.9,0.978,11494532037,6375653252,12196672633
1/9/2023,19:00:00,603063.1,622224.8,0.969,11494825945,6375719854,12196974040
1/9/2023,19:30:00,570209.4,593923.1,0.96,11495115676,6375801943,12197275210
1/9/2023,20:00:00,579724.1,615996,0.941,11495400352,6375893750,12197574345
1/9/2023,20:30:00,579089.8,630230.6,0.919,11495695036,6376009955,12197891188
1/9/2023,21:00:00,588548.5,648502.5,0.908,11495991632,6376142180,12198215940
1/9/2023,21:30:00,503364.1,581539.1,0.866,11496267535,6376286876,12198527671
1/9/2023,22:00:00,504912.6,590264.9,0.855,11496518286,6376437076,12198819994
1/9/2023,22:30:00,478551.3,567419.5,0.843,11496765402,6376589985,12199110608
1/9/2023,23:00:00,483252.7,562959,0.858,11497008933,6376745353,12199399509
1/9/2023,23:30:00,485622,574511,0.845,11497251056,6376895124,12199684225
2/9/2023,0:00:00,475510.3,571197.5,0.832,11497486903,6377050615,12199966745
2/9/2023,0:30:00,476573.7,580663.1,0.821,11497722185,6377212801,12200252523
2/9/2023,1:00:00,449335.6,547920,0.82,11497953950,6377369240,12200532158
2/9/2023,1:30:00,473570.1,576178.2,0.822,11498186430,6377531465,12200815655
2/9/2023,2:00:00,467450.8,570973.6,0.819,11498419370,6377694197,12201099817
2/9/2023,2:30:00,454279.5,557277.7,0.815,11498650757,6377858328,12201383515
2/9/2023,3:00:00,472245.5,577009.6,0.818,11498883999,6378017956,12201666166
2/9/2023,3:30:00,468365,583646.7,0.802,11499115751,6378189058,12201954247
2/9/2023,4:00:00,468850.1,579451.1,0.809,11499349873,6378358864,12202243477
2/9/2023,4:30:00,472245.5,572656.3,0.825,11499584695,6378522188,12202529546
2/9/2023,5:00:00,458066.7,562496.6,0.814,11499810628,6378685236,12202808186
2/9/2023,5:30:00,532747.7,616791.1,0.864,11500043720,6378845752,12203091421
2/9/2023,6:00:00,618156,676703.6,0.913,11500324691,6378992264,12203408449
2/9/2023,6:30:00,620749.2,665949.1,0.932,11500631601,6379119717,12203740835
2/9/2023,7:00:00,599257.2,639180.9,0.938,11500942730,6379235144,12204072703
2/9/2023,7:30:00,659349,700826.1,0.941,11501258137,6379352142,12204409139
2/9/2023,8:00:00,681848.4,715687.5,0.953,11501587106,6379465594,12204757174
2/9/2023,8:30:00,668490.5,698817.5,0.957,11501919940,6379571372,12205106434
2/9/2023,9:00:00,677874.6,707112.4,0.959,11502249326,6379671979,12205450859
